chromosome	start	end	strand	ddb_g	genename	description
chr1	325873	326929	+	DDB_G0267554	DDB_G0267554	NA
chr1	327145	330624	-	DDB_G0267556	DDB_G0267556	chromatin remodeling complex subunit R (CHR) protein%3B SWI2%2FSNF2 homolog
chr1	331477	336050	+	DDB_G0268280	DDB_G0268280	NA
chr1	336383	337455	+	DDB_G0267560	uprt	catalyzes the reaction UMP %2B diphosphate %3C%3D%3E uracil %2B 5-phospho-alpha-D-ribose 1-diphosphate
chr1	338107	338878	+	DDB_G0267420	sodA	superoxide dismutase of the SOD1 family%3B expressed at constant levels throughout the life cycle and upregulated upon oxidative stress%3B enriched in prespore cells
chr1	339546	341341	+	DDB_G0267562	stcA	NA
chr1	341837	343496	+	DDB_G0267564	DDB_G0267564	similar to D. purpureum protein%3B contains a predicted signal anchor sequence
chr1	343868	346712	-	DDB_G0267566	DDB_G0267566	putative protein serine%2Fthreonine kinase%3B contains an ankyrin repeat domain%3B similar to vertebrate Nek kinases which are involved in regulation of mitosis
chr1	348371	351563	+	DDB_G0268284	tgrO4	NA
chr1	351991	354465	-	DDB_G0267396	kif2	belongs to the NCD%2FKar3 subfamily%2C predicted to play a role in mitosis 
chr1	355159	357213	-	DDB_G0267568	gacO	NA
chr1	358932	360995	-	DDB_G0267570	DDB_G0267570	NA
chr1	361555	362932	-	DDB_G0267572	DDB_G0267572	NA
chr1	363410	364574	+	DDB_G0268286	DDB_G0268286	NA
chr1	364761	365278	-	DDB_G0267460	cybA	homolog of the mammalian flavocytochrome B small subunit p22phox%2C essential for spore formation
chr1	365942	366747	+	DDB_G0267574	DDB_G0267574	NA
chr1	366936	367540	+	DDB_G0267576	DDB_G0267576	NA
chr1	368155	368942	+	DDB_G0267578	DDB_G0267578	NA
chr1	369407	370211	+	DDB_G0267580	DDB_G0267580	NA
chr1	371018	373018	+	DDB_G0267582	DDB_G0267582	NA
chr1	373253	374947	-	DDB_G0267584	adcE	NA
chr1	375348	376736	+	DDB_G0267586	DDB_G0267586	NA
chr1	376992	379294	-	DDB_G0267588	pikI	NA
chr1	381029	382632	-	DDB_G0267590	DDB_G0267590	NA
chr1	383616	385211	+	DDB_G0267592	DDB_G0267592	NA
chr1	385503	385941	+	DDB_G0267594	pfdn2	component of the prefoldin complex responsible for targeting proteins to cytosolic chaperonin CCT
chr1	386296	390186	-	DDB_G0268288	DDB_G0268288	NA
chr1	390446	395584	-	DDB_G0267596	DDB_G0267596	NA
chr1	395715	397024	-	DDB_G0267598	DDB_G0267598	might be involved in fatty acid metabolism
chr1	397569	397823	-	DDB_G0268290	DDB_G0268290	NA
chr1	398417	399505	-	DDB_G0267600	DDB_G0267600	similar to HIBCH%2C might have 3-hydroxyisobutyryl-Coenzyme A hydrolase activity
chr1	400350	405975	-	DDB_G0267602	DDB_G0267602	NA
chr1	406648	408225	-	DDB_G0267604	mserS	catalyzes the reaction ATP %2B L-serine %2B tRNASer %3D AMP %2B diphosphate %2B L-seryl-tRNASer
chr1	408722	409582	+	DDB_G0267606	fcf1	NA
chr1	409670	410341	-	DDB_G0267608	DDB_G0267608	NA
chr1	411512	412435	-	DDB_G0267610	DDB_G0267610	there is a paralog of this gene%2C %3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0287085%22%3EDDB_G0287085 %3C%2Fa%3E
chr1	413651	414280	+	DDB_G0267612	DDB_G0267612	NA
chr1	414980	416538	+	DDB_G0267380	argE	NA
chr1	416596	417778	-	DDB_G0268292	DDB_G0268292	NA
chr1	420108	421374	-	DDB_G0267614	DDB_G0267614	NA
chr1	424007	425518	+	DDB_G0267454	ancA	ortholog of human SLC25A4%2C which catalyzes the exchange of ADP and ATP across the mitochondrial inner membrane%3B contains six predicted transmembrane domains %3Cbr%2F%3E%3Cbr%2F%3E%3Cb%3ECommunity annotation:%3C%2Fb%3E Overview of the %3Ca href%3D%22http:%2F%2Fwiki.dictybase.org%2Fdictywiki%2Findex.php%2FMitochondrial_Carrier_Family_%2528MCF%2529%22%3EMitochondrial Carrier Family (MCF)%3C%2Fa%3E%2C %3Ci%3EGerard Klein and Michel Satre%2C April 2007%3C%2Fi%3E 
chr1	426116	427466	-	DDB_G0268294	DDB_G0268294_ps	putative pseudogene%3B fragment%2C nearly identical to %3Ca href%3D%22%2Fgene%2FDDB_G0291065%22%3EDDB_G0291065%3C%2Fa%3E%2C %3Ca href%3D%22%2Fgene%2FDDB_G0290815%22%3EDDB_G0290815%3C%2Fa%3E  
chr1	427853	430458	+	DDB_G0267616	DDB_G0267616	NA
chr1	430688	431774	-	DDB_G0268484	DDB_G0268484_ps	putative pseudogene%3B fragment%2C similar to %3Ca href%3D%22%2Fgene%2FDDB_G0291065%22%3EDDB_G0291065%3C%2Fa%3E%2C %3Ca href%3D%22%2Fgene%2FDDB_G0290815%22%3EDDB_G0290815%3C%2Fa%3E
chr1	433828	435890	+	DDB_G0267618	DDB_G0267618_ps	putative pseudogene%3B fragment%3B similar to D. discoideum gene %3Ca href%3D%22%2Fgene%2FDDB_G0268494%22%3EDDB_G0268494%3C%2Fa%3E 
chr1	436026	437354	-	DDB_G0267620	DDB_G0267620	NA
chr1	438237	438607	-	DDB_G0267622	srp9	component of the signal recognition particle (SRP)%2C which ensures correct targeting of nascent secretory proteins to the endoplasmic reticulum
chr1	439137	440790	+	DDB_G0267624	DDB_G0267624	NA
chr1	441679	442307	-	DDB_G0267628	rad54_ps	putative pseudogene%3B fragment similar to%2C %3Ca href%3D%22%2Fgene%2FDDB_G0282997%22%3Erad54%3C%2Fa%3E
chr1	443514	444929	+	DDB_G0267630	kil1	necessary for efficient intracellular killing of K. pneumoniae%3B overexpression of kil1%2C a sulfotransferase%2C restores the ability of %3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0267444%22%3E%3Ci%3Ephg1a%3C%2Fi%3E%3C%2Fa%3E mutants to grow on K. pneumoniae
chr1	445092	446321	-	DDB_G0267632	DDB_G0267632	NA
chr1	447485	447880	-	DDB_G0268298	DDB_G0268298	NA
chr1	448541	448611	+	DDB_G0294671	tRNA-Lys-UUU-2	transfers a lysine residue to a growing polypeptide chain during protein synthesis%0A
chr1	448892	451792	+	DDB_G0267634	DDB_G0267634	NA
chr1	451992	454102	-	DDB_G0267636	mybM	contains three Myb DNA-binding domains
chr1	464992	474506	+	DDB_G0267638	DDB_G0267638	chromatin remodeling complex subunit R (CHR) protein%3B SWI2%2FSNF2 homolog
chr1	475634	475923	+	DDB_G0268300	DDB_G0268300	NA
chr1	476398	479414	-	DDB_G0267640	gtaE	has 18 amino acids between the two CX2C motifs
chr1	481685	483244	-	DDB_G0267448	DDB_G0267448	similar to yeast ERG24 involved in ergosterol biosynthesis
chr1	484012	485684	+	DDB_G0267642	DDB_G0267642	NA
chr1	485945	486391	-	DDB_G0268302	rpl38	protein component of the large (60S) ribosomal subunit
chr1	487456	488497	-	DDB_G0267390	psmB6	subunit of the 20S proteasome (macropain)%2C the endopeptidase complex involved in an ATP%2Fubiquitin-dependent nonlysosomal proteolytic pathway%3B in eukaryotes composed of up to 28 subunits%2C which form a highly ordered ring-shaped structure (20S ring)%3B shift of Dictyostelium cells from the proliferative to differentiated state%3B highly expressed during the early stage of differentiation
chr1	488923	490112	-	DDB_G0267644	DDB_G0267644	NA
chr1	490625	491661	+	DDB_G0267646	sec20	putative ortholog of SNARE protein SEC20
chr1	491895	494666	+	DDB_G0267648	DDB_G0267648	NA
chr1	495110	498317	+	DDB_G0267650	ireA	ortholog of the yeast IRE1 serine%2Fthreonine kinase%2Fendoribonuclease%2C a transmembrane protein involved in the unfolded protein response%3B contains a ribonuclease 2-5A domain and 3 pyrrolo-quinoline quinone (PQQ) domains
chr1	498516	501561	-	DDB_G0268486	DDB_G0268486_ps	putative pseudogene%2C contains protein kinase domain
chr1	504172	506744	+	DDB_G0268488	tgrO_ps1	putative pseudogene%3B immunoglobulin E-set family gene
chr1	507666	510414	+	DDB_G0268490	tgrO1	NA
chr1	511341	514098	+	DDB_G0267654	tgrO2	NA
chr1	515177	518377	+	DDB_G0268304	tgrO3	NA
chr1	518710	520050	+	DDB_G0267656	l2hgdh	ortholog of the H. sapiens L2HGDH%2C which when defective causes L-2-hydroxyglutaric aciduria-a rare autosomal recessive disorder
chr1	520101	522397	-	DDB_G0268492	DDB_G0268492	NA
chr1	523164	526205	+	DDB_G0267658	DDB_G0267658	NA
chr1	526607	527617	-	DDB_G0267660	DDB_G0267660	NA
chr1	527773	528777	+	DDB_G0267662	DDB_G0267662	NA
chr1	529188	529696	-	DDB_G0349281	DDB_G0349281	NA
chr1	530163	530978	-	DDB_G0349279	DDB_G0349279	NA
chr1	533108	536707	+	DDB_G0267666	gefW	putative Ras guanine nucleotide exchange factor%3B promotes the exchange of GDP for GTP on Ras small GTPases thus converting them into the active form%3B similar to son of sevenless
chr1	537016	537560	+	DDB_G0267668	hspL	NA
chr1	537622	538492	-	DDB_G0267670	DDB_G0267670	NA
chr1	539176	541233	+	DDB_G0267672	DDB_G0267672	NA
chr1	542006	544264	+	DDB_G0268494	DDB_G0268494	NA
chr1	545194	548149	+	DDB_G0267674	glcS	CAZy family GT3%3B catalyzes the reaction UDP-glucose %2B (1%2C4-alpha-D-glucosyl)(n) %3C%3D%3E UDP %2B (1%2C4-alpha-D-glucosyl)(n%2B1)
chr1	548246	550335	-	DDB_G0267676	DDB_G0267676	NA
chr1	551012	554227	-	DDB_G0267384	culB	similar to mammalian cullin 1 and 2 (CUL1%2C CUL2)%3B involved in ubiquitin-mediated protein degradation%3B regulates prestalk cell differentiation in %3Ci%3EDictyostelium%3C%2Fi%3E
chr1	554652	556085	-	DDB_G0268496	DDB_G0268496	NA
chr1	556660	557274	+	DDB_G0267678	tgrO_ps2	putative pseudogene%3B small fragment%2C similar to genes of the tgrO family
chr1	557566	558286	+	DDB_G0267680	DDB_G0267680	NA
chr1	558538	559011	-	DDB_G0268306	rpb9	component of the RNA polymerase II complex%3B ortholog of S. cerevisiae RPB9
chr1	559492	561036	+	DDB_G0267682	ercc1	ortholog of H. sapiens ERCC1 and S. cerevisiae RAD10 nucleotide excision repair genes%3B defects in ERCC1  cause cerebro-oculo-facio-skeletal syndrome type 4 (COFS4)
